map   0   0      0.999707      149120.3        2554.8        -238.0         218.7         6.817
map   0   1      0.999686      151083.3        2607.8        -234.1         204.3         6.844
map   0   2      0.999700      160060.2        2766.8        -233.6         192.8         6.836
map   0   3      0.999718      148415.1        2535.4        -235.9         233.9         6.801
map   0   4      0.999729      154274.4        2655.5        -237.5         221.2         6.841
map   0   5      0.999687      146273.9        2484.5        -239.3         210.7         6.816
map   0   6      0.999709      150823.9        2570.1        -236.7         217.1         6.855
map   0   7      0.999694      147857.7        2594.4        -234.8         202.9         6.842
map   0   8      0.999710      152580.6        2589.8        -238.4         191.9         6.884
map   0   9      0.999738      154655.9        2665.0        -236.0         233.2         6.842
map   0  10      0.999715      148514.6        2515.5        -243.0         220.5         6.828
map   0  11      0.999715      149537.4        2535.4        -242.6         209.9         6.871
map   0  12      0.999689      142277.4        2387.5        -239.8         216.0         6.818
map   0  13      0.999688      149045.9        2628.1        -232.0         201.3         6.829
map   0  14      0.999706      150936.9        2648.8        -232.4         190.4         6.877
map   0  15      0.999764      170869.7        2853.7        -238.5         233.4         6.835
map   0  16      0.999731      151368.3        2551.5        -243.2         220.7         6.878
map   0  17      0.999715      147725.2        2544.4        -236.6         210.4         6.871
map   0  18      0.999712      147942.0        2503.5        -241.4         216.5         6.852
map   0  19      0.999703      150401.0        2550.5        -238.8         201.7         6.876
map   0  20      0.999705      150852.2        2603.5        -235.3         191.2         6.868
map   0  21      0.999741      153320.8        2598.6        -239.8         232.5         6.850
map   0  22      0.999717      150165.3        2522.3        -241.0         219.2         6.808
map   0  23      0.999698      150341.0        2613.5        -234.9         208.4         6.811
map   0  24      0.999694      144777.6        2380.7        -245.5         214.5         6.853
map   0  25      0.999692      151846.5        2577.3        -236.6         200.3         6.838
map   0  26      0.999705      160513.9        2803.5        -232.4         188.8         6.874
map   0  27      0.999747      151063.8        2566.3        -239.0         232.6         6.873
map   0  28      0.999701      142063.2        2392.7        -242.5         219.2         6.833
map   0  29      0.999697      150030.7        2571.2        -237.4         208.3         6.823
map   0  30      0.999735      149609.9        2529.2        -241.2         215.5         6.870
map   0  31      0.999697      147907.0        2510.5        -237.5         200.4         6.865
map   0  32      0.999736      169858.9        2792.0        -244.1         188.8         6.951
